Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	A(adr)	B(x)	B(y)	B(z)	B(adr)	M(x)	M(y)	M(z)	M(adr)	N(x)	N(y)	N(z)	N(adr)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(Ohm)	Var(%)	Rho-a(Ohm-m)	Cycles	IP Delay Window(mV/V)	Pint(V)	Pext(V)	T int(deg C)	T log(deg C)	Latitude	Longitude
2026-07-30 14:17:19	751	1843	1	13	0.5	0	0	13.5	0.5	0	0	0	0.5	0	0	15.5	0.5	0	0	10.5	0.5	0.874		21.4956	428.106	0.117672	0	5.47425	3.70854	334.429	1		0.0088623	12.3009	39.2074	0	54.7664	-1.56997	
2026-07-30 14:17:14	750	1844	1	12	0.5	0	0	12.5	0.5	0	0	0	0.5	0	0	15.5	0.5	0	0	10	0.5	1.309		23.1952	396.283	0.0485542	0	2.09329	9.53132	258.133	1		0.0177246	12.3097	39.2074	0	54.7664	-1.56996	
2026-07-30 14:17:02	748	1845	1	5	0.5	0	0	5.5	0.5	0	0	0	0.5	0	0	15.5	0.5	0	0	6.5	0.5	2.274		31.5544	290.82	0.069409	0	2.19966	9.0536	602.383	1		0.0088623	12.3009	39.2074	0	54.7664	-1.56995	
2026-07-30 14:16:57	747	1846	1	3	0.5	0	0	3.5	0.5	0	0	0	0.5	0	0	15.5	0.5	0	0	5.5	0.5	1.309		26.792	343.917	0.21876	0	8.16513	3.25333	1006.88	1		0.0177246	12.3097	39.0775	0	54.7664	-1.56994	
2026-07-30 14:16:45	745	1847	1	12.5	0	0	0	13	0	0	0	0	0	0	0	15.5	0	0	0	10.25	0	1.087		27.8072	330.239	0.0855356	0	3.07602	4.97332	277.118	1		0.0088623	12.3009	39.3374	0	54.7664	-1.56993	
2026-07-30 14:16:40	744	1848	1	12	0	0	0	12.5	0	0	0	0	0	0	0	15.5	0	0	0	10	0	1.309		29.0147	315.489	0.0546558	0	1.88373	8.68104	232.292	1		0.0088623	12.3097	39.3374	0	54.7665	-1.56993	
2026-07-30 14:16:34	743	1849	1	7.5	0	0	0	8	0	0	0	0	0	0	0	15.5	0	0	0	7.75	0	2.967		32.5124	278.977	0.0204542	0	0.62912	25.8987	237.173	1		0.0088623	12.3009	39.4673	0	54.7665	-1.56994	
2026-07-30 14:16:28	742	1850	1	5	0	0	0	5.5	0	0	0	0	0	0	0	15.5	0	0	0	6.5	0	2.274		29.6793	305.887	0.0757665	0	2.55284	7.67633	699.101	1		0.0088623	12.3009	39.4673	0	54.7665	-1.56995	
2026-07-30 14:16:17	740	1851	1	3	0	0	0	3.5	0	0	0	0	0	0	0	15.5	0	0	0	5.5	0	1.309		29.9809	307.099	0.257087	0	8.57503	3.32844	1057.43	1		0.0088623	12.3097	39.0775	0	54.7665	-1.56996	
2026-07-30 14:16:05	738	1852	1	0	0.5	0	0	15.5	0.5	0	0	14.5	0.5	0	0	15	0.5	0	0	11.25	0.5	0.26		25.6977	356.444	1.96411	0	76.4314	0.340645	479.131	1		0.0088623	12.3097	39.4673	0	54.7665	-1.56996	
