Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	A(adr)	B(x)	B(y)	B(z)	B(adr)	M(x)	M(y)	M(z)	M(adr)	N(x)	N(y)	N(z)	N(adr)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(Ohm)	Var(%)	Rho-a(Ohm-m)	Cycles	IP Delay Window(mV/V)	Pint(V)	Pext(V)	T int(deg C)	T log(deg C)	Latitude	Longitude
2026-08-14 12:21:21	458	662	1	7.5	0.5	0	0	7.5	1	0	0	7.5	0	0	0	7.5	1.5	0	0	7.5	0.75	0.259		22.1895	415.914	12.1455	0	547.351	0.2355	1719.55	1		0.0797607	12.1148	48.0437	0	54.7664	-1.57017	
2026-08-14 12:20:42	451	663	1	0.5	1	0	0	1	1	0	0	0	1	0	0	7.5	1	0	0	2.25	1	0.262		35.0827	260.423	3.57493	0	101.9	0.299102	633.297	1		0.0797607	12.1059	48.1737	0	54.7664	-1.57018	
2026-08-14 12:20:36	450	664	1	6	0.5	0	0	6.5	0.5	0	0	0	0.5	0	0	7.5	0.5	0	0	5	0.5	0.478		27.1251	335.384	3.49485	0	128.842	0.281847	2338.67	1		0.0797607	12.1148	48.0437	0	54.7664	-1.57019	
2026-08-14 12:20:25	448	665	1	5	0.5	0	0	5.5	0.5	0	0	0	0.5	0	0	7.5	0.5	0	0	4.5	0.5	0.951		28.5612	321.905	1.01352	0	35.4859	0.248444	1886.62	1		0.0797607	12.1148	48.1737	0	54.7664	-1.57019	
2026-08-14 12:20:47	452	666	1	0.5	1.5	0	0	1	1.5	0	0	0	1.5	0	0	7.5	1.5	0	0	2.25	1.5	0.262		39.1859	232.892	3.25784	0	83.1381	0.316586	516.694	1		0.0708984	12.1148	48.0437	0	54.7664	-1.57018	
2026-08-14 12:20:08	445	667	1	4	0	0	0	4.5	0	0	0	0	0	0	0	7.5	0	0	0	4	0	1.366		34.5381	276.26	0.778814	0	22.5494	0.366524	1879.15	1		0.0797607	12.1148	48.1737	0	54.7664	-1.57019	
2026-08-14 12:20:02	444	668	1	3.5	0	0	0	4	0	0	0	0	0	0	0	7.5	0	0	0	3.75	0	1.431		33.266	268.381	0.66495	0	19.9889	0.900957	1758.31	1		0.0708984	12.1148	48.1737	0	54.7664	-1.57018	
2026-08-14 12:19:56	443	669	1	3	0	0	0	3.5	0	0	0	0	0	0	0	7.5	0	0	0	3.5	0	1.366		31.466	291.586	0.679243	0	21.5866	1.86372	1798.91	1		0.0797607	12.1059	48.1737	0	54.7664	-1.57018	
2026-08-14 12:19:51	442	670	1	0.5	0	0	0	1	0	0	0	0	0	0	0	7.5	0	0	0	2.25	0	0.262		25.2947	365.274	10.7629	0	425.501	0.231795	2644.44	1		0.0708984	12.1148	48.1737	0	54.7664	-1.57018	
2026-08-14 12:19:45	441	671	1	7.5	0	0	0	7.5	1.5	0	0	7.5	0.5	0	0	7.5	1	0	0	7.5	0.75	0.259		24.2633	382.326	13.364	0	550.789	0.223391	1730.35	1		0.0797607	12.1148	48.1737	0	54.7664	-1.57017	
2026-08-14 12:19:33	439	672	1	6.5	0	0	0	6.5	1.5	0	0	6.5	0.5	0	0	6.5	1	0	0	6.5	0.75	0.259		27.3629	335.595	11.1564	0	407.72	0.306853	1280.89	1		0.0708984	12.1148	48.1737	0	54.7664	-1.57016	
2026-08-14 12:19:22	437	673	1	5.5	0	0	0	5.5	1.5	0	0	5.5	0.5	0	0	5.5	1	0	0	5.5	0.75	0.259		28.4412	321.665	13.6101	0	478.533	0.222435	1503.36	1		0.0708984	12.1148	48.3036	0	54.7664	-1.57017	
2026-08-14 12:19:16	436	674	1	5	0	0	0	5	1.5	0	0	5	0.5	0	0	5	1	0	0	5	0.75	0.259		32.8473	278.004	10.2366	0	311.64	0.299056	979.047	1		0.0797607	12.1148	48.3036	0	54.7664	-1.57017	
2026-08-14 12:19:11	435	675	1	4.5	0	0	0	4.5	1.5	0	0	4.5	0.5	0	0	4.5	1	0	0	4.5	0.75	0.259		37.8484	241.107	11.7162	0	309.555	0.289813	972.495	1		0.0708984	12.1148	48.3036	0	54.7664	-1.57018	
2026-08-14 12:19:05	434	676	1	4	0	0	0	4	1.5	0	0	4	0.5	0	0	4	1	0	0	4	0.75	0.259		34.3595	272.219	10.6842	0	310.954	0.300485	976.891	1		0.0797607	12.1059	48.3036	0	54.7664	-1.57018	
2026-08-14 12:21:15	457	677	1	5.5	0.5	0	0	5.5	1	0	0	5.5	0	0	0	5.5	1.5	0	0	5.5	0.75	0.259		29.5867	308.986	14.1728	0	479.025	0.280049	1504.9	1		0.0797607	12.1148	48.0437	0	54.7664	-1.57017	
2026-08-14 12:18:59	433	678	1	3.5	0	0	0	3.5	1.5	0	0	3.5	0.5	0	0	3.5	1	0	0	3.5	0.75	0.259		31.9546	286.873	9.42015	0	294.798	0.339101	926.134	1		0.0797607	12.1148	48.3036	0	54.7664	-1.57018	
