Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	A(adr)	B(x)	B(y)	B(z)	B(adr)	M(x)	M(y)	M(z)	M(adr)	N(x)	N(y)	N(z)	N(adr)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(Ohm)	Var(%)	Rho-a(Ohm-m)	Cycles	IP Delay Window(mV/V)	Pint(V)	Pext(V)	T int(deg C)	T log(deg C)	Latitude	Longitude
2026-08-14 12:15:50	408	544	1	3	1	0	0	3.5	0.5	0	0	2.5	1.5	0	0	4	0	0	0	3.25	0.75	0.367		35.6163	257.341	9.85729	0	276.763	0.266077	1229.63	1		0.0797607	12.1148	48.0437	0	54.7664	-1.57019	
2026-08-14 12:15:44	407	545	1	2	1	0	0	2.5	0.5	0	0	1.5	1.5	0	0	3	0	0	0	2.25	0.75	0.367		29.3403	313.564	6.75674	0	230.289	0.30575	1023.15	1		0.0797607	12.1148	48.0437	0	54.7664	-1.5702	
2026-08-14 12:15:33	405	546	1	6.5	0.5	0	0	7	1	0	0	6	0	0	0	7.5	1.5	0	0	6.75	0.75	0.367		27.5957	335.993	8.63623	0	312.955	0.285882	1390.42	1		0.0708984	12.1148	48.0437	0	54.7665	-1.5702	
2026-08-14 12:15:27	404	547	1	5.5	0.5	0	0	6	1	0	0	5	0	0	0	6.5	1.5	0	0	5.75	0.75	0.367		29.8861	307.254	10.4427	0	349.417	0.24923	1552.42	1		0.0708984	12.1148	48.1737	0	54.7665	-1.5702	
2026-08-14 12:15:21	403	548	1	4.5	0.5	0	0	5	1	0	0	4	0	0	0	5.5	1.5	0	0	4.75	0.75	0.367		38.1454	239.947	10.6399	0	278.93	0.258993	1239.25	1		0.0708984	12.1148	48.0437	0	54.7665	-1.5702	
2026-08-14 12:15:04	400	549	1	5	0.5	0	0	5	1	0	0	5	0	0	0	5	1.5	0	0	5	0.75	0.259		36.1548	254.973	11.21	0	310.055	0.303916	974.068	1		0.0708984	12.1148	48.1737	0	54.7664	-1.57017	
2026-08-14 12:09:40	343	550	1	0	1.5	0	0	7.5	1.5	0	0	6.5	1.5	0	0	7	1.5	0	0	5.25	1.5	0.262		31.4705	289.047	3.91061	0	124.263	0.237575	772.279	1		0.0708984	12.1148	49.2132	0	54.7664	-1.57021	
2026-08-14 12:09:33	342	551	3	0	1.5	0	0	7.5	1.5	0	0	5.5	1.5	0	0	6	1.5	0	0	4.75	1.5	0.706		31.4125	288.283	0.790221	0	25.1562	0.140487	869.337	1		0.0708984	12.0439	49.2132	0	54.7664	-1.57022	
2026-08-14 12:07:59	328	552	4	0	0	0	0	7.5	0	0	0	2	0	0	0	2.5	0	0	0	3	0	0.951		21.8282	422.775	0.606606	0	27.7901	0.184785	1477.47	1		0.0708984	12.1679	49.733	0	54.7665	-1.57021	
2026-08-14 12:09:26	341	553	3	0	1.5	0	0	7.5	1.5	0	0	3.5	1.5	0	0	4	1.5	0	0	3.75	1.5	1.431		31.2891	287.889	0.464652	0	14.8503	0.139755	1306.3	1		0.0708984	12.1148	49.2132	0	54.7664	-1.57021	
2026-08-14 12:14:19	392	554	1	5	1	0	0	5.5	1	0	0	0	1	0	0	7.5	1	0	0	4.5	1	0.951		38.2089	239.601	0.866626	0	22.6813	0.274423	1205.86	1		0.0708984	12.1148	48.0437	0	54.7664	-1.57017	
2026-08-14 12:09:26	341	555	1	0	1.5	0	0	7.5	1.5	0	0	2.5	1.5	0	0	3	1.5	0	0	3.25	1.5	1.19		31.2891	287.889	0.587911	0	18.7897	0.22937	1328.16	1		0.0708984	12.1148	49.2132	0	54.7664	-1.57021	
2026-08-14 12:09:20	340	556	4	0	1.5	0	0	7.5	1.5	0	0	2	1.5	0	0	2.5	1.5	0	0	3	1.5	0.951		31.2924	289.419	0.585797	0	18.7201	0.10191	995.263	1		0.0708984	12.1148	49.2132	0	54.7664	-1.57021	
2026-08-14 12:11:34	363	557	1	1.5	0	0	0	3	1.5	0	0	2	0.5	0	0	2.5	1	0	0	2.25	0.75	0.367		28.7452	318.946	6.77435	0	235.669	0.321564	1047.05	1		0.0708984	12.1148	48.6935	0	54.7664	-1.57015	
2026-08-14 12:09:20	340	558	2	0	1.5	0	0	7.5	1.5	0	0	1	1.5	0	0	1.5	1.5	0	0	2.5	1.5	0.478		31.2924	289.419	1.44346	0	46.128	0.258439	837.29	1		0.0708984	12.1148	49.2132	0	54.7664	-1.57021	
2026-08-14 12:08:35	333	559	2	0	0.5	0	0	7.5	0.5	0	0	3	0.5	0	0	3.5	0.5	0	0	3.5	0.5	1.366		27.5494	328.136	0.569482	0	20.6713	0.209771	1722.64	1		0.0708984	12.1148	49.6031	0	54.7665	-1.57021	
2026-08-14 12:09:20	340	560	1	0	1.5	0	0	7.5	1.5	0	0	0.5	1.5	0	0	1	1.5	0	0	2.25	1.5	0.262		31.2924	289.419	2.60056	0	83.1053	0.310339	516.49	1		0.0708984	12.1148	49.2132	0	54.7664	-1.57021	
